"term","pval","combined","adjp","genes","n"
"ambroxol PC3 UP",0.405049754475918,1.77014810803811,0.456241466988096,"SAT1",1
"theophylline CTD 00006862",0.407348056297416,1.30546155305509,0.458407351833314,"CCND1;HSPA2",2
"palmitic acid BOSS",0.408585759438379,1.73302619761177,0.459376806882376,"NAMPT",1
"clopamide HL60 UP",0.413851063321835,1.67934955843028,0.464014828572966,"HLA-DPA1",1
"4-aminobutyric acid BOSS",0.413851063321835,1.67934955843028,0.464014828572966,"CENPV",1
"CORTICOSTERONE BOSS",0.413851063321835,1.67934955843028,0.464014828572966,"HSPA2",1
"parthenolide HL60 DOWN",0.415595902907817,1.66197179620914,0.465116954583359,"CD14",1
"L-threonine BOSS",0.415595902907817,1.66197179620914,0.465116954583359,"EIF4EBP1",1
"clomipramine PC3 UP",0.417335636255781,1.64484306314879,0.465783191835748,"CEBPB",1
"methotrexate BOSS",0.417335636255781,1.64484306314879,0.465783191835748,"BCL6",1
"5,6-BENZOFLAVONE CTD 00007276",0.417335636255781,1.64484306314879,0.465783191835748,"CYP4B1",1
"ouabain MCF7 DOWN",0.421773777406404,1.21770039344928,0.470306650423031,"SOCS2;NAMPT",2
"Ethylparaben BOSS",0.424243800362794,1.5787253213212,0.472629270294682,"HSPA2",1
"Imatinib mesylate BOSS",0.425958221951809,1.56277287070625,0.47367485337264,"MRC1",1
"Quercetin dihydrate BOSS",0.425958221951809,1.56277287070625,0.47367485337264,"HSPA2",1
"D-glucose BOSS",0.427667624810987,1.54704265608864,0.47514301173268,"NAMPT",1
"HEXACHLOROETHANE BOSS",0.431071431962857,1.51623261632013,0.477834005833728,"NAMPT",1
"cholesterol BOSS",0.431071431962857,1.51623261632013,0.477834005833728,"NAMPT",1
"trichostatin A PC3 DOWN",0.431263779220941,1.01918397163845,0.477834005833728,"SOCS2;NNMT;CCND1;PCNT",4
"ajmaline HL60 DOWN",0.431972116928503,1.15943602005243,0.478184909129377,"TIMP1;CD14",2
"Insulin BOSS",0.432765865025868,1.50114486798822,0.478629638765022,"NAMPT",1
"dihydroergocristine HL60 DOWN",0.43445533683658,1.48626350425212,0.479629264265339,"EIF4EBP1",1
"ipratropium bromide HL60 DOWN",0.43445533683658,1.48626350425212,0.479629264265339,"NUDT4",1
"iopromide HL60 UP",0.436139861701686,1.47158478797889,0.480619829546714,"FKBP5",1
"alprostadil HL60 DOWN",0.436025821463247,1.13709126348418,0.480619829546714,"EIF4EBP1;FKBP5",2
"ethosuximide HL60 DOWN",0.437819453818569,1.45710506766148,0.4820356655658,"SAT1",1
"valproic acid HL60 DOWN",0.439494127440785,1.44282077438478,0.483443540184864,"CD14",1
"picrotoxinin PC3 DOWN",0.441163896647195,1.42872842047303,0.483972253195171,"NUDT4",1
"sanguinarine MCF7 UP",0.441163896647195,1.42872842047303,0.483972253195171,"MRC1",1
"2-Butanone BOSS",0.441163896647195,1.42872842047303,0.483972253195171,"EIF4EBP1",1
"fulvestrant MCF7 DOWN",0.442828775657259,1.41482459601928,0.484927296033645,"CCND1",1
"11-cis-Retinal BOSS",0.442828775657259,1.41482459601928,0.484927296033645,"CENPV",1
"cyclophosphamide BOSS",0.444488778453185,1.40110596824736,0.485438996861663,"BCL6",1
"rapamycin BOSS",0.444488778453185,1.40110596824736,0.485438996861663,"EIF4EBP1",1
"hydrocortisone BOSS",0.444488778453185,1.40110596824736,0.485438996861663,"HSPA2",1
"doxorubicin BOSS",0.447794211594719,1.37421133920201,0.488611914528286,"BCL6",1
"cephaeline MCF7 DOWN",0.449439669917676,1.36102903498013,0.48996949729418,"HSPA2",1
"Pentadecafluorooctanoic acid CTD 00001078",0.452716139566939,1.33517920660558,0.493101165398066,"ANGPTL4",1
"dimethyl sulfoxide CTD 00005842",0.459211678292673,1.28545743127771,0.499730355789086,"CXCL14",1
"Sodium dichromate CTD 00000827",0.460823684730392,1.27342284324896,0.501038040120934,"CD14",1
"nocodazole HL60 DOWN",0.467224606828405,1.22678937767304,0.50754559158139,"EIF4EBP1",1
"Mustard gas CTD 00006356",0.47039699526504,1.20434101596646,0.51053753886099,"C3",1
"primaquine PC3 DOWN",0.470834962958814,0.962379794262263,0.510559049531716,"HSPA2;NUDT4",2
"METHYL METHANESULFONATE CTD 00006307",0.473178327115448,0.797980006643403,0.512644842420552,"CEBPB;CDKN1A;ERAP2;ALOX5AP;MGST1;GNPNAT1;MAGED2;HSPA2;PPM1K;GPCPD1;SAT1;HLA-DPA1",12
"fisetin PC3 DOWN",0.476677851357019,0.935795384976291,0.515521396374597,"CEBPB;BCL6",2
"Cianidanol CTD 00005600",0.476510164361011,0.873635193540929,0.515521396374597,"C3;NNMT;CCND1",3
"trichostatin A HL60 DOWN",0.47861709310102,0.927131378110497,0.517160593518889,"CYBRD1;CD14",2
"clidinium bromide HL60 UP",0.490569581785802,1.07116184008753,0.529139098374968,"CXCL14",1
