"term","pval","combined","adjp","genes","n"
"alexidine PC3 UP",3.80230933831145e-05,245.254832166953,0.00160121849032861,"CEBPB;CDKN1A;MT1M;MT1X",4
"N-Acetyl-L-cysteine CTD 00005305",3.80305783943732e-05,87.3284079959994,0.00160121849032861,"CDKN1A;CCND1;MT1M;MT1X;CD14;SAT1;FKBP5",7
"trichostatin A CTD 00000660",3.58084043968605e-05,32.3013166345388,0.00160121849032861,"CENPV;CEBPB;CDKN1A;PCOLCE2;NPR3;MGST1;CYBRD1;FBLN1;HSPA2;PPM1K;CXCL14;SAT1;AMOT;NUDT4;SOCS2;ADAMTS5;SFRP1;CCND1;NAMPT;EIF4EBP1;CCDC3;ANGPTL4;CD14;HLA-DPA1",24
"histamine CTD 00006100",4.83095374310867e-05,224.471899611309,0.00196619817344523,"CDKN1A;CCND1;ALOX5AP;CD14",4
"isotretinoin HL60 UP",5.03481258280573e-05,138.571274319037,0.00198306650438897,"CEBPB;BCL6;ALOX5AP;TIMP1;SAT1",5
"letrozole CTD 00002692",5.35513267241873e-05,477.031108563604,0.00201581376505487,"CDKN1A;CCND1;EIF4EBP1",3
"Silica CTD 00006678",5.4481453109591e-05,48.3305284920184,0.00201581376505487,"CEBPB;CDKN1A;CCND1;PITPNM1;LUM;MT1M;MRC1;FBLN1;MYH11;MT1X;CCDC3",11
"nimesulide CTD 00000666",6.38613008536445e-05,202.307893537466,0.00226941168499562,"C1QB;CDKN1A;CCND1;ANGPTL4",4
"lamivudine CTD 00007258",6.73625334042127e-05,198.305799680707,0.00226941168499562,"CDKN1A;CCND1;EIF4EBP1;TIMP1",4
"gemcitabine CTD 00002382",6.61125363407248e-05,93.7849324935354,0.00226941168499562,"CEBPB;CDKN1A;NNMT;BCL6;CCND1;SAT1",6
"mebendazole HL60 UP",6.87700510604733e-05,74.606354543799,0.00226941168499562,"CEBPB;CDKN1A;BCL6;NAMPT;TIMP1;CD14;SAT1",7
"etoposide HL60 UP",7.2877011242433e-05,122.991570228655,0.00234165344018449,"CDKN1A;BCL6;NAMPT;CD14;SAT1",5
"tretinoin HL60 UP",7.59910943067867e-05,90.0406242341413,0.00237910579868171,"CEBPB;BCL6;ALOX5AP;TIMP1;ANGPTL4;SAT1",6
"bromocriptine HL60 UP",9.59179393929337e-05,173.584015316753,0.0029278950999693,"NAMPT;MT1X;TIMP1;SAT1",4
"eugenol CTD 00005949",0.000111971169990143,106.831356688667,0.00333455606238939,"NAMPT;MGST1;F13A1;MT1X;SAT1",5
"cicloheximide PC3 UP",0.000119358780252779,64.1448406592851,0.00346993025449152,"SOCS2;CEBPB;CDKN1A;BCL6;MT1M;NAMPT;MT1X",7
"Pemetrexed CTD 00003054",0.000124920581186807,319.565589965284,0.00354716347974631,"C3;CDKN1A;CCND1",3
"niclosamide PC3 UP",0.000136724514582445,99.9634148752395,0.00379410527966285,"CEBPB;CDKN1A;NNMT;MT1M;NAMPT",5
"azacyclonol PC3 UP",0.000144432727506855,148.475047124505,0.00391894133968599,"CDKN1A;BCL6;MT1X;SAT1",4
"Deguelin CTD 00003487",0.00016395679877831,141.391785426468,0.00434765230735588,"CDKN1A;CCND1;EIF4EBP1;ANGPTL4",4
"ciclopirox HL60 UP",0.000174475809222308,92.094895968719,0.00434765230735588,"CDKN1A;MT1M;NAMPT;MT1X;SAT1",5
"cyclophosphamide CTD 00005734",0.000172573926277344,70.4069785346061,0.00434765230735588,"CEBPB;CDKN1A;BCL6;ALOX5AP;EIF4EBP1;HSPA2",6
"5-Fluorouracil CTD 00005987",0.000169271344985183,34.9366333696552,0.00434765230735588,"CEBPB;CDKN1A;CCND1;PCOLCE2;MT1M;FBLN1;MT1X;HSPA2;ANGPTL4;SAT1;CA14;FKBP5",12
"alexidine MCF7 UP",0.000208625565975362,128.761143705054,0.00505994724172502,"CEBPB;BCL6;MT1X;SAT1",4
"genistein CTD 00007324",0.00021134914768876,33.1821785844365,0.00505994724172502,"IFITM3;C3;CEBPB;CDKN1A;CCND1;CYP4B1;FBLN1;MT1X;HSPA2;TIMP1;CXCL14;SAT1",12
"Tamibarotene CTD 00002527",0.000224043355203929,46.3890054309132,0.00526071032123071,"CEBPB;CDKN1A;CCND1;ALOX5AP;TIMP1;SAT1;FKBP5;HLA-DPA1",8
"cholecalciferol CTD 00005655",0.000252056130154792,119.563435337184,0.00578277622042135,"CDKN1A;F13A1;CD14;RXRG",4
"8-azaguanine HL60 UP",0.000255749316873672,51.6258077973514,0.00578277622042135,"CDKN1A;BCL6;NAMPT;TIMP1;CD14;SAT1;NUDT4",7
"anisomycin PC3 UP",0.000271468379748579,35.9148411403914,0.00602659803041845,"SOCS2;CEBPB;CDKN1A;BCL6;MT1M;NAMPT;MT1X;ANGPTL4;SAT1;NUDT4",10
"thiostrepton CTD 00006881",0.000296328477784747,211.239245296976,0.00634766791886274,"CDKN1A;CCND1;HSPA2",3
"4-PHENYLBUTYRIC ACID CTD 00002847",0.00029120731512694,112.938770616646,0.00634766791886274,"CDKN1A;BCL6;FBLN1;HSPA2",4
"doxorubicin CTD 00005874",0.000327115033977326,37.429266639076,0.0068863354566606,"ADAMTS5;CEBPB;CDKN1A;CCND1;EIF4EBP1;FBLN1;SAT1;FKBP5;NUDT4",9
"2-[6-fluoro-2-methyl-3-[(4-methylsulfonylphenyl)methylidene]inden-1-yl]acetic acid CTD 00001194",0.00033822674163565,198.11551256989,0.00699957375486658,"CDKN1A;CCND1;SAT1",3
"Ursolic acid CTD 00000232",0.000360532343993443,192.056007752153,0.00733683320026656,"CDKN1A;CCND1;EIF4EBP1",3
"caffeine CTD 00005556",0.000369948280881121,102.669668679168,0.0074050303435385,"CDKN1A;EIF4EBP1;MGST1;CYP4B1",4
"strophanthidin PC3 UP",0.000390057020553561,45.55879066456,0.00768160680799836,"CEBPB;CDKN1A;BCL6;NAMPT;MT1X;HSPA2;SAT1",7
"thioridazine CTD 00006879",0.000407937555850845,180.825078338294,0.00778268368271691,"CDKN1A;CCND1;EIF4EBP1",3
"phenobarbital CTD 00006510",0.000405582966524396,30.134210196597,0.00778268368271691,"IFITM3;SOCS2;C3;NNMT;ADH1B;ADH1A;NPR3;CD14;SAT1;FKBP5;NUDT4",11
"Elesclomol CTD 00004602",0.000433069115772868,175.613224283452,0.00805768705940953,"MT1M;MT1X;SAT1",3
"Vitinoin CTD 00007069",0.000435550651859974,34.63533914442,0.00805768705940953,"SOCS2;C3;MFAP4;CDKN1A;CCND1;NAMPT;FBLN1;NUDT4;HLA-DPA1",9
"L-mimosine CTD 00006335",0.000462555386629283,596.696804900309,0.00830559010403463,"CDKN1A;CCND1",2
"astemizole HL60 UP",0.000459174349494027,170.646429521561,0.00830559010403463,"BCL6;MT1X;SAT1",3
"suloctidil PC3 UP",0.000486268839959064,165.908608036573,0.00860484425492778,"CDKN1A;MT1M;MT1X",3
"pyrvinium PC3 UP",0.000514368015056105,161.385022522879,0.00884568093497893,"CDKN1A;CEBPB;NNMT",3
"SELENIUM CTD 00006731",0.000508071189825348,25.5049837855132,0.00884568093497893,"IFITM3;C1QB;CDKN1A;ADH1B;FBLN1;SAT1;ADAMTS5;CCND1;PITPNM1;MAGED2;TIMP1;CD14;HLA-DPA1",13
"thapsigargin PC3 UP",0.000535325329238191,41.3766560485159,0.00907822537499765,"SOCS2;CEBPB;CDKN1A;NNMT;NAMPT;MT1X;SAT1",7
"Thymoquinone CTD 00000119",0.000554014347281043,524.382510177056,0.0091412367301372,"CDKN1A;CCND1",2
"gamma-Tocopherol CTD 00007389",0.000554014347281043,524.382510177056,0.0091412367301372,"CDKN1A;CCND1",2
"DENSPM CTD 00002486",0.000653503336791641,466.187996725063,0.00951902069156391,"CDKN1A;SAT1",2
"FERROUS SULFATE CTD 00001009",0.000637114731350203,145.178272580224,0.00951902069156391,"CDKN1A;CEBPB;CXCL14",3
"0297417-0002B MCF7 UP",0.000670463373852986,141.543282378195,0.00951902069156391,"SOCS2;BCL6;SAT1",3
"lindane CTD 00001115",0.000622963033078713,83.091031923936,0.00951902069156391,"CEBPB;CDKN1A;BCL6;CCND1",4
"1-NITROPYRENE CTD 00001569",0.000628828630797874,58.7538411752875,0.00951902069156391,"CEBPB;CDKN1A;CCND1;EIF4EBP1;CD14",5
"3,3',4,4',5-Pentachlorobiphenyl CTD 00001077",0.000666062824732866,57.5327747364915,0.00951902069156391,"SOCS2;C1QB;CDKN1A;MGST1;SAT1",5
"irinotecan PC3 UP",0.000656694318013651,38.8349832757668,0.00951902069156391,"CEBPB;CDKN1A;BCL6;MT1X;HSPA2;ANGPTL4;SAT1",7
"Dasatinib CTD 00004330",0.000664463070847554,38.6923413981536,0.00951902069156391,"MFAP4;ADAMTS5;CDKN1A;NNMT;CCND1;LUM;MYH11",7
"troglitazone CTD 00002415",0.00061863357862506,34.7814653526625,0.00951902069156391,"CEBPB;CDKN1A;CCND1;NAMPT;HSPA2;TIMP1;ANGPTL4;CD14",8
"8-Bromo-cAMP, Na CTD 00007044",0.000624887675744948,34.6783782724603,0.00951902069156391,"SFRP1;CDKN1A;LUM;MGST1;FBLN1;CCDC3;LYVE1;RXRG",8
"Decitabine CTD 00000750",0.000599586143558162,23.4634326866853,0.00951902069156391,"IFITM3;CEBPB;CDKN1A;MT1M;MT1X;CXCL14;SAT1;SOCS2;SFRP1;BCL6;CCND1;MYH11;ANGPTL4;CD14",14
"cyclosporin A CTD 00007121",0.000603901742370932,18.4260868726827,0.00951902069156391,"CEBPB;CDKN1A;MTFP1;ADH1B;ADH1A;NPR3;MT1M;PPM1K;SAT1;SOCS2;C3;CCND1;XPO4;NAMPT;EIF4EBP1;TIMP1;CD14;CENPV;ERAP2;LUM;CYP4B1;HSPA2;ABCA8;GPCPD1;BCL6;FKBP5",26
"Caffeic acid phenethyl ester CTD 00002352",0.000704906057009421,138.055785112977,0.00989299190354601,"CDKN1A;CCND1;CD14",3
"diazoxide CTD 00005792",0.000760975802785523,418.445425162016,0.0102446664079288,"CCND1;NAMPT",2
"4-Methylpyrazole CTD 00000534",0.000760975802785523,418.445425162016,0.0102446664079288,"ADH1B;ADH1A",2
"methanol CTD 00005338",0.000760975802785523,418.445425162016,0.0102446664079288,"ADH1B;ADH1A",2
"cephaeline PC3 UP",0.000763525506242033,37.0361650389512,0.0102446664079288,"SOCS2;CEBPB;CDKN1A;BCL6;MT1M;MT1X;SAT1",7
"cimetidine CTD 00005672",0.000777130861034445,131.490450330802,0.0103138780578593,"ADH1B;ADH1A;CD14",3
"troglitazone PC3 UP",0.000814941270213294,128.397664300393,0.0106993902250584,"CDKN1A;NNMT;ANGPTL4",3
"mefloquine MCF7 UP",0.000840637583288908,73.3681576146223,0.010804405149429,"CEBPB;BCL6;MT1X;SAT1",4
"VALPROIC ACID CTD 00006977",0.000835729593734264,16.8038205696653,0.010804405149429,"IFITM3;CEBPB;CDKN1A;NNMT;PCOLCE2;NPR3;MT1M;F13A1;FBLN1;MT1X;PPM1K;CXCL14;SAT1;AMOT;NUDT4;ADAMTS5;CCND1;XPO4;NAMPT;EIF4EBP1;GNPNAT1;PCNT;RXRG;CA14;HLA-DPA1;CENPV;LUM;CYBRD1;HSPA2;GPCPD1;MFAP4;SFRP1;PITPNM1;MAGED2;CCDC3;ANGPTL4;FKBP5",37
"CHROMIUM CTD 00005668",0.000955412424462045,69.5231391210884,0.0121516517736266,"ADAMTS5;CDKN1A;NPR3;TIMP1",4
"Brassinolide CTD 00001097",0.000999685933713069,345.005260215936,0.0122061652506366,"CDKN1A;CCND1",2
"NVP-AEW541 CTD 00004462",0.000999685933713069,345.005260215936,0.0122061652506366,"CDKN1A;CCND1",2
"amodiaquine CTD 00005388",0.000999685933713069,345.005260215936,0.0122061652506366,"CDKN1A;CCND1",2
"Melatonin CTD 00006260",0.00097782615852217,117.141234114821,0.0122061652506366,"CDKN1A;CCND1;EIF4EBP1",3
"Bisphenol A CTD 00000312",0.00102557174463335,23.5640522170067,0.0123054081278568,"SOCS2;SFRP1;CEBPB;CDKN1A;BCL6;CCND1;EIF4EBP1;MGST1;MAGED2;RXRG;FKBP5",11
"benzo[a]pyrene CTD 00005488",0.00102797021215511,16.6635908275569,0.0123054081278568,"CENPV;CEBPB;CDKN1A;LUM;MT1M;MGST1;CYP4B1;MT1X;HSPA2;LYVE1;SAT1;ABRA;NUDT4;SOCS2;BCL6;CCND1;PITPNM1;XPO4;NAMPT;MRC1;MYH11;TIMP1;ANGPTL4;CD14",24
"PD 98059 CTD 00003206",0.00104411397313591,48.6822752350631,0.0123773122446499,"CEBPB;CDKN1A;CCND1;TIMP1;CD14",5
"deptropine PC3 UP",0.00106644392320011,112.104335652537,0.012520461829109,"SOCS2;CEBPB;CDKN1A",3
"leukotriene C4 CTD 00007223",0.00113083147179296,316.243196880353,0.0130258983684831,"ALOX5AP;ABCA8",2
"ferulic acid CTD 00000186",0.00113083147179296,316.243196880353,0.0130258983684831,"CDKN1A;CCND1",2
"mephentermine HL60 UP",0.00115998609182895,107.410928187263,0.0132368506366649,"CDKN1A;BCL6;SAT1",3
"selenium(6+) CTD 00002696",0.00126977623094293,291.399393001354,0.0139675385403723,"CDKN1A;EIF4EBP1",2
"Rubitecan CTD 00002935",0.00126977623094293,291.399393001354,0.0139675385403723,"CDKN1A;CCND1",2
"Oligomycin CTD 00006434",0.00126977623094293,291.399393001354,0.0139675385403723,"CCND1;CD14",2
"alvespimycin CTD 00004027",0.00126977623094293,291.399393001354,0.0139675385403723,"CDKN1A;CCND1",2
"ns-398 CTD 00002958",0.00136225272463988,98.9294446694182,0.0145904436560113,"CDKN1A;CCND1;TIMP1",3
"perhexiline HL60 UP",0.00136225272463988,98.9294446694182,0.0145904436560113,"MT1M;MT1X;SAT1",3
"rottlerin CTD 00003057",0.00136225272463988,98.9294446694182,0.0145904436560113,"CDKN1A;CCND1;EIF4EBP1",3
"vorinostat PC3 UP",0.00138782374465521,35.4848613623369,0.0147350677584697,"CDKN1A;BCL6;HSPA2;ANGPTL4;SAT1;NUDT4",6
"clobenpropit CTD 00003065",0.00141647463282005,269.748513000876,0.0149096166092524,"CDKN1A;CCND1",2
"Panobinostat CTD 00004412",0.00147117620361019,95.0878163223261,0.0152605064100502,"C3;CDKN1A;HLA-DPA1",3
"dexamethasone CTD 00005779",0.00147480733528741,34.7245585790186,0.0152605064100502,"SFRP1;CDKN1A;CCND1;NAMPT;CD14;FKBP5",6
"diflorasone PC3 UP",0.00157088129179789,250.731478697401,0.0157216889941411,"NNMT;MT1X",2
"Teriflunomide CTD 00002799",0.00157088129179789,250.731478697401,0.0157216889941411,"CDKN1A;EIF4EBP1",2
"Nimbolide CTD 00001923",0.00157088129179789,250.731478697401,0.0157216889941411,"CDKN1A;CCND1",2
"Manumycin A CTD 00002318",0.00157088129179789,250.731478697401,0.0157216889941411,"CDKN1A;CCND1",2
"isoproterenol CTD 00006175",0.0016445705710682,89.7604316306789,0.0163253712786526,"C3;HSPA2;TIMP1",3
"astemizole MCF7 UP",0.00169902662356182,54.2656825299029,0.0167299315110402,"CEBPB;BCL6;MT1X;SAT1",4
"cytarabine CTD 00005743",0.00176090613250713,28.1480655495131,0.0172005311023297,"MFAP4;SFRP1;CDKN1A;LUM;FBLN1;MT1X;TIMP1",7
"camptothecin PC3 UP",0.00178141027590761,32.4401682705991,0.0172627138641523,"CEBPB;CDKN1A;MT1X;HSPA2;CD14;SAT1",6
"3-methylcholanthrene CTD 00006310",0.00181555386790982,39.3239487951061,0.0174550493914795,"C3;CDKN1A;BCL6;PCOLCE2;TIMP1",5
"labetalol HL60 UP",0.00190263879936788,218.939252147483,0.0175994088941529,"MT1M;MT1X",2
"1-METHYLPHENANTHRENE CTD 00001894",0.00190263879936788,218.939252147483,0.0175994088941529,"CDKN1A;SAT1",2
"salbutamol HL60 UP",0.00190263879936788,218.939252147483,0.0175994088941529,"TIMP1;SAT1",2
"calyculin A CTD 00002466",0.00190263879936788,218.939252147483,0.0175994088941529,"CCND1;EIF4EBP1",2
"3-aminobenzamide CTD 00001175",0.00190263879936788,218.939252147483,0.0175994088941529,"CDKN1A;CCND1",2
"Lead(II) acetate CTD 00000394",0.00196102538947673,81.8868752665384,0.0180030977485044,"CDKN1A;CCND1;MT1X",3
"1,9-Pyrazoloanthrone CTD 00003948",0.0020036642281413,50.4527324846845,0.0182572688250786,"CEBPB;CDKN1A;CCND1;CD14",4
"clioquinol HL60 UP",0.00207989983492815,205.538305782528,0.0184848080106768,"MT1M;MT1X",2
"Clofarabine CTD 00002713",0.00207989983492815,205.538305782528,0.0184848080106768,"CDKN1A;CCND1",2
"retinol CTD 00006991",0.00209748122421104,79.0434454758964,0.0184848080106768,"CCND1;CD14;RXRG",3
"calmidazolium MCF7 UP",0.00204422699904076,50.0049163651071,0.0184848080106768,"SOCS2;CEBPB;BCL6;MT1X",4
"vorinostat MCF7 UP",0.00210433113307459,26.473526727803,0.0184848080106768,"CDKN1A;BCL6;MT1X;HSPA2;ANGPTL4;SAT1;NUDT4",7
"terfenadine MCF7 UP",0.00212705270063477,49.1271870819958,0.0185509381962504,"CEBPB;BCL6;MT1X;SAT1",4
"benzene CTD 00005481",0.00214330707382092,26.3051569492989,0.0185601272137258,"CDKN1A;BCL6;CCND1;NAMPT;F13A1;MT1X;FKBP5",7
"Cryptolepine CTD 00001119",0.00226468950035791,193.481717034663,0.0188107882988912,"CDKN1A;CCND1",2
"isotretinoin PC3 UP",0.00226468950035791,193.481717034663,0.0188107882988912,"C3;HLA-DPA1",2
"Everolimus CTD 00003479",0.00226468950035791,193.481717034663,0.0188107882988912,"CCND1;EIF4EBP1",2
"S-1,2-Dichlorovinyl-N-acetylcysteine CTD 00002159",0.00226468950035791,193.481717034663,0.0188107882988912,"C3;CXCL14",2
"2,6-DICHLOROINDOPHENOL CTD 00007030",0.00226468950035791,193.481717034663,0.0188107882988912,"CDKN1A;HSPA2",2
"pregnenolone PC3 UP",0.0022060048103176,29.9919769342011,0.0188107882988912,"ATP1B4;F13A1;LYVE1;CXCL14;RXRG;HLA-DPA1",6
"emetine PC3 UP",0.00232448264722123,22.9692966417458,0.0191769818395751,"SOCS2;CEBPB;CDKN1A;NNMT;BCL6;MT1M;MT1X;SAT1",8
"2,2',4,5,5'-PENTACHLOROBIPHENYL CTD 00000511",0.00245696336437194,182.584070083145,0.0192859784361532,"CDKN1A;CCND1",2
"TAUROCHOLIC ACID CTD 00006831",0.00245696336437194,182.584070083145,0.0192859784361532,"CCND1;ABCA8",2
"(+)-isoprenaline HL60 UP",0.00245696336437194,182.584070083145,0.0192859784361532,"TIMP1;SAT1",2
"apicidin CTD 00003381",0.00245696336437194,182.584070083145,0.0192859784361532,"CDKN1A;CCND1",2
"disulfiram PC3 UP",0.00245696336437194,182.584070083145,0.0192859784361532,"MT1M;MT1X",2
"SB 202190 CTD 00003161",0.00246405621297289,72.5868836892682,0.0192859784361532,"CEBPB;CDKN1A;CD14",3
"pimozide MCF7 UP",0.00246405621297289,72.5868836892682,0.0192859784361532,"CEBPB;MT1X;SAT1",3
"ciglitazone CTD 00001835",0.00238942222759254,46.6295528278601,0.0192859784361532,"CDKN1A;BCL6;CCND1;ANGPTL4",4
"Diallyl trisulfide CTD 00001934",0.00254181408181553,71.3964264342474,0.0196427531259288,"CDKN1A;CCND1;TIMP1",3
"clotrimazole PC3 UP",0.00254181408181553,71.3964264342474,0.0196427531259288,"CEBPB;CDKN1A;MT1X",3
"hesperetin CTD 00000678",0.00265667718446402,172.692011622951,0.0201478437405625,"CDKN1A;CCND1",2
"2,4-DIHYDROXYBENZOPHENONE CTD 00003724",0.00265667718446402,172.692011622951,0.0201478437405625,"CDKN1A;CCND1",2
"nicotinamide CTD 00006391",0.00265667718446402,172.692011622951,0.0201478437405625,"CDKN1A;EIF4EBP1",2
"Gefitinib CTD 00003879",0.00278415298486993,68.0053044535636,0.0208555263467864,"CDKN1A;CCND1;CD14",3
"valinomycin PC3 UP",0.00278415298486993,68.0053044535636,0.0208555263467864,"CEBPB;CDKN1A;NNMT",3
"5224221 MCF7 UP",0.00286798662253983,66.9314921484465,0.0213525101592752,"SOCS2;CEBPB;MT1X",3
"hydrocortisone CTD 00006117",0.00295336308095322,65.8843190931376,0.0217232308544812,"MT1X;CD14;FKBP5",3
"HC toxin MCF7 UP",0.00294120531067907,32.3730736824967,0.0217232308544812,"CDKN1A;BCL6;MT1X;HSPA2;SAT1",5
"menadione HL60 UP",0.00301791960834489,32.0308776189992,0.0220651487532282,"CDKN1A;BCL6;HSPA2;SAT1;NUDT4",5
"roscovitine CTD 00003426",0.00307824866090805,155.43360415256,0.0221702307449965,"CDKN1A;CCND1",2
"temozolomide CTD 00002088",0.00308676431339018,41.4965287387697,0.0221702307449965,"CDKN1A;CCND1;MT1X;SAT1",4
"indomethacin CTD 00006147",0.00305681580390055,31.8617203801915,0.0221702307449965,"CDKN1A;CCND1;TIMP1;ANGPTL4;SAT1",5
"Capsaicin CTD 00005570",0.00319657925105724,40.8330727558299,0.0228246974593034,"CEBPB;CDKN1A;CCND1;TIMP1",4
"phosphatidylcholines CTD 00006538",0.00330001876983437,147.868945186996,0.0232908839188888,"CDKN1A;CCND1",2
"isoxsuprine PC3 UP",0.00330001876983437,147.868945186996,0.0232908839188888,"MT1M;MT1X",2
"ciclopirox MCF7 UP",0.00349853439219759,60.1119709787397,0.0244097742449901,"CDKN1A;MT1X;ANGPTL4",3
"Cube root extract CTD 00006707",0.0034827434667834,39.2422156065917,0.0244097742449901,"CDKN1A;CCND1;NAMPT;CD14",4
"HMN-176 CTD 00004250",0.00376531025589527,134.479480841414,0.0258244907392511,"CDKN1A;TIMP1",2
"amlodipine CTD 00007164",0.00376531025589527,134.479480841414,0.0258244907392511,"CDKN1A;CCND1",2
"Periodate-oxidized adenosine CTD 00001296",0.0037858999527649,37.7420957889199,0.0258244907392511,"CDKN1A;MT1X;TIMP1;SAT1",4
"lycorine PC3 UP",0.00376158389544389,24.4740933227658,0.0258244907392511,"ADAMTS5;CDKN1A;MT1M;MT1X;ANGPTL4;SAT1",6
"raloxifene CTD 00007367",0.00393067845071272,21.1520865538786,0.0266631021573346,"CEBPB;CDKN1A;BCL6;CCND1;LUM;F13A1;TIMP1",7
"141-05-9 CTD 00000755",0.00400874519922632,128.531373610788,0.0266659652327572,"CDKN1A;CCND1",2
"simvastatin PC3 UP",0.00400874519922632,128.531373610788,0.0266659652327572,"NNMT;MT1X",2
"scriptaid MCF7 UP",0.00399371227978966,21.0272070286436,0.0266659652327572,"CEBPB;CDKN1A;BCL6;MT1X;HSPA2;ANGPTL4;SAT1",7
"Demecolcine CTD 00005762",0.0040184583151739,19.015634350037,0.0266659652327572,"SOCS2;CENPV;CDKN1A;ERAP2;NAMPT;MT1X;TIMP1;SAT1",8
"phenytoin CTD 00006527",0.00410149402014324,55.0983016544953,0.0270698605329454,"CDKN1A;CCND1;TIMP1",3
"alpha-Hexylcinnamaldehyde CTD 00002937",0.0042593156284662,123.012628674169,0.0272283999076295,"MGST1;MT1X",2
"isopropanol CTD 00007325",0.0042593156284662,123.012628674169,0.0272283999076295,"ADH1B;ADH1A",2
"Promegestone CTD 00006626",0.0042593156284662,123.012628674169,0.0272283999076295,"CCND1;MT1X",2
"camptothecin MCF7 UP",0.00417278205934384,36.051948414907,0.0272283999076295,"CDKN1A;MT1X;CD14;SAT1",4
"EINECS 250-892-2 CTD 00001193",0.00423976399514482,35.7812106610731,0.0272283999076295,"IFITM3;CEBPB;CDKN1A;CCND1",4
"VITAMIN E CTD 00006994",0.00421955704969204,15.4165903948533,0.0272283999076295,"IFITM3;ADAMTS5;CEBPB;BCL6;CCND1;DPT;FBLN1;MAGED2;TIMP1;SAT1;HLA-DPA1",11
"PHENCYCLIDINE CTD 00005881",0.00444507190198982,34.9868305125672,0.0282678791267165,"CDKN1A;NAMPT;CD14;SAT1",4
"menadione PC3 UP",0.00453645497727225,52.110550465007,0.0284051873192278,"CDKN1A;HSPA2;SAT1",3
"Sorafenib CTD 00004146",0.00453645497727225,52.110550465007,0.0284051873192278,"CDKN1A;CCND1;EIF4EBP1",3
"LY 294002 CTD 00003061",0.0045149740712637,34.7278324836913,0.0284051873192278,"CDKN1A;CCND1;EIF4EBP1;TIMP1",4
"FENRETINIDE CTD 00007166",0.00458561539211386,34.471659776494,0.0285665122131174,"CDKN1A;CCND1;HSPA2;RXRG",4
"Entinostat CTD 00003662",0.004781692096299,113.096931002621,0.0292843478570643,"CDKN1A;CCND1",2
"tyrphostin AG-825 MCF7 UP",0.004781692096299,113.096931002621,0.0292843478570643,"MT1X;SAT1",2
"LITHIUM CHLORIDE CTD 00007226",0.00480201033299106,33.7196759271153,0.0292843478570643,"CDKN1A;CCND1;ALOX5AP;MAGED2",4
"nocodazole HL60 UP",0.00482076488064694,26.2727667596429,0.0292843478570643,"CDKN1A;BCL6;NAMPT;TIMP1;SAT1",5
"GDC-0941 CTD 00004868",0.00474905760698447,22.3109505844963,0.0292843478570643,"CDKN1A;BCL6;CCND1;EIF4EBP1;CYBRD1;PPM1K",6
"fendiline MCF7 UP",0.00499838335237168,49.3684915966418,0.0300641678485016,"CEBPB;MT1X;SAT1",3
"suloctidil MCF7 UP",0.00499838335237168,49.3684915966418,0.0300641678485016,"CEBPB;MT1X;SAT1",3
"Aflodac CTD 00006817",0.00502518693215689,32.9916493082315,0.0300772217851155,"CDKN1A;CCND1;TIMP1;SAT1",4
"cinnamyl alcohol CTD 00001006",0.00505341316836217,108.629589764976,0.0300986218466839,"MGST1;MT1X",2
"spiperone PC3 UP",0.00517778627105065,32.5190942300142,0.03068969435414,"CEBPB;CDKN1A;NAMPT;SAT1",4
"beclometasone HL60 UP",0.00533209979106667,104.449329595562,0.0313004511773673,"MT1X;FKBP5",2
"disulfiram HL60 UP",0.00533209979106667,104.449329595562,0.0313004511773673,"MT1M;MT1X",2
"TERT-BUTYL HYDROPEROXIDE CTD 00007349",0.0054799735983052,14.8569971132614,0.0320145826006251,"CEBPB;CDKN1A;PCOLCE2;MT1M;FBLN1;MT1X;HSPA2;ANKRD2;SAT1;HLA-DPA1",10
"clenbuterol HL60 UP",0.00561770993312676,100.530555267235,0.032209853538716,"TIMP1;SAT1",2
"prenylamine HL60 UP",0.00561770993312676,100.530555267235,0.032209853538716,"MT1M;MT1X",2
"verteporfin HL60 UP",0.00561770993312676,100.530555267235,0.032209853538716,"MT1M;MT1X",2
"puromycin PC3 UP",0.00561891793918633,20.8371232923452,0.032209853538716,"SOCS2;CEBPB;CDKN1A;BCL6;SAT1;NUDT4",6
"niclosamide MCF7 UP",0.00574284724393935,45.6573209349015,0.0324630392817127,"CEBPB;CDKN1A;SAT1",3
"perhexiline MCF7 UP",0.00574284724393935,45.6573209349015,0.0324630392817127,"BCL6;MT1X;SAT1",3
"acetaminophen CTD 00005295",0.00569914159345627,10.9861476545504,0.0324630392817127,"IFITM3;CENPV;CDKN1A;NNMT;PCOLCE2;MT1M;MGST1;FBLN1;MT1X;HSPA2;ABCA8;GPCPD1;LYVE1;SAT1;SOCS2;ADAMTS5;CCND1;PITPNM1;GNPNAT1;TIMP1;CD14",21
"POTASSIUM DICHROMATE CTD 00006598",0.00581603743910828,20.5436945751764,0.0327252613509272,"CDKN1A;NNMT;ERAP2;FBLN1;MYH11;MT1X",6
"CADMIUM CTD 00005555",0.00596453145567491,15.3044739733156,0.0334068481989865,"IFITM3;CDKN1A;CCND1;MT1M;MT1X;CD14;GPCPD1;SAT1;CA14",9
"Pregna-4,17(20)-diene-3,16-dione CTD 00001094",0.00620953355419871,93.3891671438276,0.0338475020967706,"CDKN1A;CCND1",2
"Glycitein CTD 00003084",0.00620953355419871,93.3891671438276,0.0338475020967706,"CDKN1A;CCND1",2
