tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
heart,mast cell,ERAP2,0.04059505430793635,5.366288131819194,4491
heart,mast cell,CENPV,0.009196425938866394,1.3137385882876864,4491
heart,fat cell,EIF4EBP1,0.09757342741914786,12.76130286825474,4114
heart,fat cell,PITPNM1,0.007244853876027657,1.0452114730189597,4114
heart,fat cell,MAGED2,0.03698739266013079,5.080213903743315,4114
heart,fat cell,NUDT4,0.28074844928406717,30.432668935342733,4114
heart,fat cell,MTFP1,0.0006739398954444333,0.09722897423432182,4114
heart,fat cell,PPM1K,0.18705738121059606,22.070977151191055,4114
heart,fat cell,NAMPT,0.8557705022956077,58.60476421973748,4114
heart,fat cell,CCND1,0.015920731762861476,2.0418084589207584,4114
heart,fat cell,FBLN1,0.24241062924881612,21.438988818667962,4114
heart,fat cell,ERAP2,0.050542706010639524,6.5143412736995625,4114
heart,fat cell,CENPV,0.07731532091415212,10.233349538162372,4114
heart,natural killer cell,EIF4EBP1,0.020778154327956162,2.9492833517089307,3628
heart,natural killer cell,PITPNM1,0.015507912031213662,2.205071664829107,3628
heart,natural killer cell,MAGED2,0.06837266006701048,9.454244762954795,3628
heart,natural killer cell,NUDT4,0.05773509153326133,7.800441014332966,3628
heart,natural killer cell,MTFP1,0.04303822903806609,5.843439911797134,3628
heart,natural killer cell,PPM1K,0.09953675538202894,13.202866593164277,3628
heart,natural killer cell,NAMPT,0.07650928076073248,9.950385887541344,3628
heart,natural killer cell,CCND1,0.005843407001095807,0.8269018743109151,3628
heart,natural killer cell,FBLN1,0.006607626606900216,0.9371554575523704,3628
heart,natural killer cell,ERAP2,0.0903436792264831,12.045203969128996,3628
heart,natural killer cell,CENPV,0.014711227411734888,2.1223814773980156,3628
heart,"CD14-positive, CD16-positive monocyte",EIF4EBP1,0.23058903093669675,28.004881025015255,3278
heart,"CD14-positive, CD16-positive monocyte",PITPNM1,0.050537921074616465,7.107992678462477,3278
heart,"CD14-positive, CD16-positive monocyte",MAGED2,0.05173857376443096,7.291031116534472,3278
heart,"CD14-positive, CD16-positive monocyte",NUDT4,0.09168309544265961,11.653447223917022,3278
heart,"CD14-positive, CD16-positive monocyte",MTFP1,0.026946591050832865,3.6912751677852347,3278
heart,"CD14-positive, CD16-positive monocyte",PPM1K,0.05797923113093862,7.535082367297132,3278
heart,"CD14-positive, CD16-positive monocyte",NAMPT,1.343409577399365,73.27638804148872,3278
heart,"CD14-positive, CD16-positive monocyte",CCND1,0.01867984081638376,2.5625381330079318,3278
heart,"CD14-positive, CD16-positive monocyte",FBLN1,0.010907861937685228,1.5558267236119585,3278
heart,"CD14-positive, CD16-positive monocyte",ERAP2,0.10941474811560938,14.093959731543624,3278
heart,"CD14-positive, CD16-positive monocyte",CENPV,0.004987141648176751,0.701647345942648,3278
heart,ventricular cardiac muscle cell,EIF4EBP1,0.07222783731089698,10.006313131313131,3168
heart,ventricular cardiac muscle cell,PITPNM1,0.002844353968446905,0.41035353535353536,3168
heart,ventricular cardiac muscle cell,MAGED2,0.2458116001251972,30.42929292929293,3168
heart,ventricular cardiac muscle cell,NUDT4,0.07274700934537734,9.343434343434344,3168
heart,ventricular cardiac muscle cell,MTFP1,0.00612630085511641,0.8838383838383839,3168
heart,ventricular cardiac muscle cell,PPM1K,0.03209299902723293,4.482323232323233,3168
heart,ventricular cardiac muscle cell,NAMPT,0.021260435533041907,2.9987373737373737,3168
heart,ventricular cardiac muscle cell,CCND1,0.023650745851824983,3.2196969696969697,3168
heart,ventricular cardiac muscle cell,FBLN1,0.03967687337085454,5.429292929292929,3168
heart,ventricular cardiac muscle cell,ERAP2,0.002844353968446905,0.41035353535353536,3168
heart,ventricular cardiac muscle cell,CENPV,0.007001486691561612,1.0101010101010102,3168
heart,"CD4-positive, alpha-beta cytotoxic T cell",EIF4EBP1,0.016161921703658454,2.312881464824928,3113
heart,"CD4-positive, alpha-beta cytotoxic T cell",PITPNM1,0.010502955555877538,1.477674269193704,3113
heart,"CD4-positive, alpha-beta cytotoxic T cell",MAGED2,0.031063542425766505,4.336652746546739,3113
heart,"CD4-positive, alpha-beta cytotoxic T cell",NUDT4,0.04379348175877205,5.910697076774816,3113
heart,"CD4-positive, alpha-beta cytotoxic T cell",MTFP1,0.016905579810505545,2.312881464824928,3113
heart,"CD4-positive, alpha-beta cytotoxic T cell",PPM1K,0.06716431757280232,9.026662383552843,3113
heart,"CD4-positive, alpha-beta cytotoxic T cell",NAMPT,0.1066229832811904,12.174751044008994,3113
heart,"CD4-positive, alpha-beta cytotoxic T cell",CCND1,0.0034701808104743307,0.48185030517185995,3113
heart,"CD4-positive, alpha-beta cytotoxic T cell",FBLN1,0.007923423229135427,1.12431737873434,3113
