from,to,etype,weight,validated
hsa-let-7c-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7c-5p,CCND1,miRNA->hub,3,TRUE
hsa-let-7d-5p,CCND1,miRNA->hub,12,TRUE
hsa-let-7e-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7e-5p,CCND1,miRNA->hub,3,TRUE
hsa-let-7f-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7f-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-15a-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-15a-5p,CCND1,miRNA->hub,52,TRUE
hsa-miR-16-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-16-5p,CCND1,miRNA->hub,52,TRUE
hsa-miR-17-5p,CCND1,miRNA->hub,35,TRUE
hsa-miR-17-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-18a-5p,CCND1,miRNA->hub,21,TRUE
hsa-miR-19a-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-19a-3p,CCND1,miRNA->hub,7,TRUE
hsa-miR-19a-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-19b-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-19b-3p,CCND1,miRNA->hub,7,TRUE
hsa-miR-19b-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-20a-5p,CCND1,miRNA->hub,56,TRUE
hsa-miR-20a-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-22-3p,CCND1,miRNA->hub,6,TRUE
hsa-miR-23a-3p,CCND1,miRNA->hub,11,TRUE
hsa-miR-23a-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-25-3p,CCND1,miRNA->hub,15,TRUE
hsa-miR-27a-3p,CCND1,miRNA->hub,5,TRUE
hsa-miR-27a-3p,CCND1,miRNA->hub,6,TRUE
hsa-miR-27a-3p,CCND1,miRNA->hub,4,TRUE
hsa-miR-32-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-33a-5p,CCND1,miRNA->hub,17,TRUE
hsa-miR-92a-3p,CCND1,miRNA->hub,15,TRUE
hsa-miR-93-5p,CCND1,miRNA->hub,35,TRUE
hsa-miR-93-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-95-3p,CCND1,miRNA->hub,7,TRUE
hsa-miR-96-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-98-5p,CCND1,miRNA->hub,23,TRUE
hsa-miR-98-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-103a-3p,CCND1,miRNA->hub,33,TRUE
hsa-miR-106a-5p,CCND1,miRNA->hub,56,TRUE
hsa-miR-106a-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-107,CCND1,miRNA->hub,33,TRUE
hsa-miR-197-3p,CCND1,miRNA->hub,8,TRUE
hsa-miR-199a-3p,CCND1,miRNA->hub,14,TRUE
hsa-miR-208a-3p,CCND1,miRNA->hub,19,FALSE
hsa-miR-129-5p,CCND1,miRNA->hub,16,FALSE
hsa-miR-30c-5p,CCND1,miRNA->hub,11,TRUE
hsa-miR-139-5p,CCND1,miRNA->hub,6,TRUE
hsa-miR-139-5p,CCND1,miRNA->hub,42,TRUE
hsa-miR-147a,CCND1,miRNA->hub,10,TRUE
hsa-miR-147a,CCND1,miRNA->hub,11,TRUE
hsa-miR-147a,CCND1,miRNA->hub,12,TRUE
hsa-miR-147a,CCND1,miRNA->hub,6,TRUE
hsa-miR-147a,CCND1,miRNA->hub,5,TRUE
hsa-miR-7-5p,CCND1,miRNA->hub,10,TRUE
hsa-miR-7-5p,CCND1,miRNA->hub,6,TRUE
hsa-miR-34a-5p,CCND1,miRNA->hub,8,TRUE
hsa-miR-183-5p,CCND1,miRNA->hub,4,TRUE
hsa-miR-218-5p,CCND1,miRNA->hub,5,TRUE
hsa-miR-221-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-222-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-224-5p,CCND1,miRNA->hub,7,TRUE
hsa-miR-224-5p,CCND1,miRNA->hub,10,TRUE
hsa-miR-200b-3p,CCND1,miRNA->hub,4,TRUE
