miRNA,gene,clipExpNum,panCancer,n_program,xref_validated
hsa-miR-18a-5p,CCND1,21,12,1,TRUE
hsa-miR-19a-3p,CCND1,3,12,1,TRUE
hsa-miR-19a-3p,CCND1,7,12,6,TRUE
hsa-miR-19a-3p,CCND1,10,12,3,TRUE
hsa-miR-19b-3p,CCND1,3,10,1,TRUE
hsa-miR-19b-3p,CCND1,7,10,6,TRUE
hsa-miR-19b-3p,CCND1,10,10,3,TRUE
hsa-miR-20a-5p,CCND1,56,9,3,TRUE
hsa-miR-20a-5p,CCND1,3,9,5,TRUE
hsa-miR-22-3p,CCND1,6,7,1,TRUE
hsa-miR-23a-3p,CCND1,11,1,2,TRUE
hsa-miR-23a-3p,CCND1,10,1,2,TRUE
hsa-miR-25-3p,CCND1,15,11,1,TRUE
hsa-miR-27a-3p,CCND1,5,1,1,TRUE
hsa-miR-27a-3p,CCND1,6,1,1,TRUE
hsa-miR-27a-3p,CCND1,4,1,1,TRUE
hsa-miR-32-5p,CCND1,15,11,1,TRUE
hsa-miR-33a-5p,CCND1,17,12,1,TRUE
hsa-miR-92a-3p,CCND1,15,11,1,TRUE
hsa-miR-93-5p,CCND1,35,7,2,TRUE
hsa-miR-93-5p,CCND1,3,7,4,TRUE
hsa-miR-95-3p,CCND1,7,10,1,TRUE
hsa-miR-96-5p,CCND1,3,9,2,TRUE
hsa-miR-98-5p,CCND1,23,10,4,TRUE
hsa-miR-98-5p,CCND1,3,10,2,TRUE
hsa-miR-103a-3p,CCND1,33,6,1,TRUE
hsa-miR-106a-5p,CCND1,56,13,3,TRUE
hsa-miR-106a-5p,CCND1,3,13,5,TRUE
hsa-miR-107,CCND1,33,6,1,TRUE
hsa-miR-197-3p,CCND1,8,13,1,TRUE
hsa-miR-199a-3p,CCND1,14,4,1,TRUE
hsa-miR-208a-3p,CCND1,19,1,1,FALSE
hsa-miR-129-5p,CCND1,16,10,2,FALSE
hsa-miR-30c-5p,CCND1,11,10,1,TRUE
hsa-miR-139-5p,CCND1,6,8,1,TRUE
hsa-miR-139-5p,CCND1,42,8,1,TRUE
hsa-miR-147a,CCND1,10,1,2,TRUE
hsa-miR-147a,CCND1,11,1,2,TRUE
hsa-miR-147a,CCND1,12,1,2,TRUE
hsa-miR-147a,CCND1,6,1,2,TRUE
hsa-miR-147a,CCND1,5,1,3,TRUE
hsa-miR-7-5p,CCND1,10,10,1,TRUE
hsa-miR-7-5p,CCND1,6,10,1,TRUE
hsa-miR-34a-5p,CCND1,8,4,4,TRUE
hsa-miR-183-5p,CCND1,4,4,1,TRUE
hsa-miR-218-5p,CCND1,5,10,2,TRUE
hsa-miR-221-3p,CCND1,10,4,1,TRUE
hsa-miR-222-3p,CCND1,10,4,1,TRUE
hsa-miR-224-5p,CCND1,7,4,1,TRUE
hsa-miR-224-5p,CCND1,10,4,2,TRUE
hsa-miR-200b-3p,CCND1,4,2,1,TRUE
hsa-let-7g-5p,CCND1,23,10,4,TRUE
hsa-let-7g-5p,CCND1,3,10,2,TRUE
hsa-let-7i-5p,CCND1,23,5,4,TRUE
hsa-let-7i-5p,CCND1,3,5,2,TRUE
