"disease","cohort","AUC_full","AUC_nonaging","nonaging_lo","nonaging_hi"
"HF","GSE5406",0.917203608247423,0.91430412371134,0.820005795149682,1
"SAR","GSE1428",0.641666666666667,0.541666666666667,0.284506189128721,0.798827144204613
"SAR","GSE25941",0.793650793650794,0.698412698412698,0.518393511203293,0.878431885622104
