"disease","cohort","auc_mean","auc_sd","auc_lo","auc_hi","n","genes"
"HF","GSE57338 (nested 5-fold x20)",0.962094965104687,0.003142647021818,0.955305957128616,0.965338359920239,313,11
"SAR","GSE8479 (nested 5-fold x20)",0.995692307692308,0.00858177365064872,0.972961538461538,1,51,11
