"gene","module"
"APOB","magenta"
"KLRK1","tan"
"SNORA1","pink"
"DHFR","turquoise"
"AQP3","green"
"VAT1L","brown"
"GSTM5","yellow"
"LY96","blue"
"CD53","blue"
"FPR3","blue"
"CHRDL2","blue"
"SNORA38B","pink"
"MOXD1","yellow"
"SNORD74","pink"
"JUNB","lightcyan"
"RNASE2","green"
"ERAP2","tan"
"SLC19A2","cyan"
"C1orf105","green"
"SIK1","lightcyan"
"CEBPD","cyan"
"G0S2","black"
"MIR145","grey"
"TUBA3D","green"
"SNORD32A","pink"
"PTPN20A","turquoise"
"SNORD29","pink"
"SLC6A1","brown"
"PER3","brown"
"MIRLET7C","brown"
"SNORD35A","pink"
"MYOC","black"
"MYC","cyan"
"PROS1","brown"
"GJA5","grey"
"C1orf162","blue"
"ADAMTS1","lightcyan"
"SCUBE2","yellow"
"SNORD14E","pink"
"NNMT","cyan"
"TLR2","blue"
"C5orf13","yellow"
"ACTG2","grey60"
"C1orf168","turquoise"
"ADAM11","magenta"
"GABRA4","brown"
"C3AR1","blue"
"CASQ1","grey"
"PAR5","turquoise"
"CRISPLD1","yellow"
"SNORD116-23","pink"
"CADM2","grey"
"MOG","magenta"
"ZNF189","cyan"
"FSTL3","purple"
"LOC389834","grey"
"SLC11A1","blue"
"TMEM71","brown"
"SNORD68","pink"
"CD68","blue"
"SNORD43","pink"
"HPGDS","yellow"
"GGT5","green"
"SPON1","blue"
"RXRG","brown"
"C1QTNF1","green"
"SNORD116-24","pink"
"CHDH","magenta"
"KCNJ3","grey"
"NR1D1","grey"
"LCN6","green"
"SULF1","yellow"
"DIO2","brown"
"LOC644714","grey"
"TUBA3E","green"
"CTSK","yellow"
"SNAP47","brown"
"C1QC","blue"
"GPC6","greenyellow"
"SNCA","brown"
"GRIA3","brown"
"MOSC1","black"
"LOC150622","grey"
"LMO3","black"
"RORB","turquoise"
"FCGR2A","blue"
"IRX6","brown"
"C10orf110","turquoise"
"EPB41L4B","magenta"
"OLFML1","yellow"
"SCARNA5","pink"
"RNU1-1","pink"
"SNORD36B","pink"
"S100A9","blue"
"ASB15","turquoise"
"SH3PXD2B","blue"
"EDN1","blue"
"IFI30","blue"
"LOX","greenyellow"
"IGSF6","blue"
"CIDEC","black"
"ZNF676","brown"
"SLC44A5","grey"
"SLC25A18","salmon"
"CRISPLD2","salmon"
"VIT","grey"
"ITGB6","grey"
"C5orf46","brown"
"ATP1B3","red"
"HEY2","magenta"
"GABRE","brown"
"SNORD15B","pink"
"OCR1","turquoise"
"LRRC10","turquoise"
"SH3GL2","brown"
"IDO1","midnightblue"
"SAMHD1","blue"
"SVEP1","yellow"
"CCR1","blue"
"C3orf43","turquoise"
"CSDC2","green"
"PTX3","red"
"SNORD58A","pink"
"AEBP1","greenyellow"
"GEM","grey"
"THRSP","black"
"EDA2R","brown"
"FLJ36840","grey"
"C1R","blue"
"OR52N1","cyan"
"SLC38A11","brown"
"UGT2B10","turquoise"
"B3GALT2","turquoise"
"SNORD103A","grey"
"CTSC","blue"
"SNORD53","pink"
"IRF6","turquoise"
"DDAH1","purple"
"IRX3","grey"
"ALS2CR11","brown"
"P2RX3","turquoise"
"CCDC144B","grey"
"ADAMTS5","salmon"
"PLIN2","green"
"CCDC3","grey60"
"SNORD25","grey"
"IL1R1","blue"
"MT1F","blue"
"BLM","green"
"ADORA3","blue"
"MS4A4A","blue"
"ACE2","turquoise"
"MATN2","yellow"
"AZGP1","grey"
"ABCG2","brown"
"RNU5E","pink"
"GPC3","black"
"CA14","magenta"
"CCDC144A","grey"
"LIPH","brown"
"XIRP1","purple"
"SCN2B","brown"
"OSMR","cyan"
