"cohort","n","auc","lo","hi"
"GSE1428",22,0.641666666666667,0.387054584814273,0.89627874851906
"GSE25941",36,0.793650793650794,0.632985757647948,0.95431582965364
"GSE9103",20,0.83,0.627365041254867,1
"GSE38718",22,0.830357142857143,0.65719688486133,1
"GSE28392",34,0.789285714285714,0.626351672192784,0.952219756378645
